File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
DAYMET_004_tmax_doy2010001_aid0001,tmax,aid0001,2010-01-01,37363,-8.9499998,3.77,"(-8.9499998,3.77)",-0.0524926,1.3132054,1.7245083,1.01,3.5599999,0.04,-3.24,-0.69
DAYMET_004_tmax_doy2010002_aid0001,tmax,aid0001,2010-01-02,37363,-6.8000002,3.53,"(-6.8000002,3.53)",-1.8879485,0.9318077,0.8682656,-1.4,0.11,-1.71,-3.9200001,-2.4100001
DAYMET_004_tmax_doy2010003_aid0001,tmax,aid0001,2010-01-03,37363,-8.3299999,1.97,"(-8.3299999,1.97)",-1.7919942,1.8734267,3.5097275,-0.74,1.97,-1.54,-5.79,-2.76
DAYMET_004_tmax_doy2010004_aid0001,tmax,aid0001,2010-01-04,37363,-10.5,2.6800001,"(-10.5,2.6800001)",-0.4306343,1.7399095,3.0272852,0.91,2.6800001,-0.01,-4.9400001,-1.4299999
DAYMET_004_tmax_doy2010005_aid0001,tmax,aid0001,2010-01-05,37363,-9.4499998,1.8,"(-9.4499998,1.8)",-0.7376443,1.5652815,2.4501062,0.46,1.8,-0.32,-4.7600002,-1.63
DAYMET_004_tmax_doy2010006_aid0001,tmax,aid0001,2010-01-06,37363,-9.6099997,1.41,"(-9.6099997,1.41)",-1.0052469,1.5767709,2.4862065,0.21,1.41,-0.63,-4.96,-1.86
DAYMET_004_tmax_doy2010007_aid0001,tmax,aid0001,2010-01-07,37363,-7.8800001,4.4400001,"(-7.8800001,4.4400001)",1.6626936,1.8584459,3.4538211,3.22,4.4400001,1.77,-3.0999999,0.69
DAYMET_004_tmax_doy2010008_aid0001,tmax,aid0001,2010-01-08,37363,-10.3900003,0.74,"(-10.3900003,0.74)",-3.8036356,1.4094499,1.9865491,-2.6800001,0.37,-4.0300002,-7.8200002,-4.7399998
DAYMET_004_tmax_doy2010009_aid0001,tmax,aid0001,2010-01-09,37363,-13.75,-1.98,"(-13.75,-1.98)",-5.0526161,1.7118864,2.9305551,-3.6300001,-1.98,-5.0599999,-9.7799997,-6.0900002
DAYMET_004_tmax_doy2010010_aid0001,tmax,aid0001,2010-01-10,37363,-12.1899996,-2.1300001,"(-12.1899996,-2.1300001)",-4.4900913,1.6359571,2.6763557,-3.1700001,-2.1300001,-4.1799998,-8.6400003,-5.3600001
DAYMET_004_tmax_doy2010011_aid0001,tmax,aid0001,2010-01-11,37363,-9.1000004,2.49,"(-9.1000004,2.49)",-0.2161255,1.6808853,2.8253754,1.0599999,2.49,0.03,-4.2600002,-1.0700001
DAYMET_004_tmax_doy2010012_aid0001,tmax,aid0001,2010-01-12,37363,-11.79,1.33,"(-11.79,1.33)",-1.9663821,2.0363085,4.1465524,-0.35,1.33,-1.95,-7.3499999,-3.1500001
DAYMET_004_tmax_doy2010013_aid0001,tmax,aid0001,2010-01-13,37363,-9.7799997,-0.04,"(-9.7799997,-0.04)",-3.6898344,1.7009166,2.8931174,-2.3199999,-0.04,-3.52,-9.0500002,-5.04
DAYMET_004_tmax_doy2010014_aid0001,tmax,aid0001,2010-01-14,37363,-7.1999998,3.3900001,"(-7.1999998,3.3900001)",0.5896186,1.3558238,1.8382581,1.84,3.3900001,0.21,-3.3599999,-0.24
DAYMET_004_tmax_doy2010015_aid0001,tmax,aid0001,2010-01-15,37363,-3.8099999,8.0699997,"(-3.8099999,8.0699997)",5.4971385,1.7739656,3.1469539,7.0300002,8.0699997,5.6399999,0.63,4.4699998
DAYMET_004_tmax_doy2010016_aid0001,tmax,aid0001,2010-01-16,37363,-2.1400001,9.46,"(-2.1400001,9.46)",6.9432311,1.5994623,2.5582796,8.1800003,9.46,7.25,3.0799999,6.1399999
DAYMET_004_tmax_doy2010017_aid0001,tmax,aid0001,2010-01-17,37363,-1.41,6.3600001,"(-1.41,6.3600001)",3.2793605,1.5172409,2.3020199,4.5599999,6.3600001,3.2,-1.41,2.1500001
DAYMET_004_tmax_doy2010018_aid0001,tmax,aid0001,2010-01-18,37363,-4.1700001,5.0799999,"(-4.1700001,5.0799999)",0.5661651,1.2136637,1.4729796,1.3,3.3900001,0.87,-2.2,-0.1
DAYMET_004_tmax_doy2010019_aid0001,tmax,aid0001,2010-01-19,37363,-4.1500001,3.77,"(-4.1500001,3.77)",-0.0424195,1.1730275,1.3759936,0.76,3.4400001,0.06,-3.7,-1.03
DAYMET_004_tmax_doy2010020_aid0001,tmax,aid0001,2010-01-20,37363,-6.0599999,4.0100002,"(-6.0599999,4.0100002)",1.1629314,1.1396006,1.2986896,1.95,3.95,1.11,-1.4,0.61
DAYMET_004_tmax_doy2010021_aid0001,tmax,aid0001,2010-01-21,37363,-7.0,5.6999998,"(-7.0,5.6999998)",2.1930292,1.7322367,3.0006441,3.51,5.6999998,1.92,-2.1600001,1.24
DAYMET_004_tmax_doy2010022_aid0001,tmax,aid0001,2010-01-22,37363,-5.5900002,4.3899999,"(-5.5900002,4.3899999)",2.0528607,1.1104212,1.2330352,2.8499999,4.3899999,2.02,-0.37,1.5599999
DAYMET_004_tmax_doy2010023_aid0001,tmax,aid0001,2010-01-23,37363,-4.4499998,4.0900002,"(-4.4499998,4.0900002)",1.910513,0.9628634,0.927106,2.51,4.04,1.98,-0.03,1.49
DAYMET_004_tmax_doy2010024_aid0001,tmax,aid0001,2010-01-24,37363,-4.5300002,9.4899998,"(-4.5300002,9.4899998)",4.057476,1.7137257,2.9368557,4.5599999,6.7600002,3.8599999,0.89,3.0899999
DAYMET_004_tmax_doy2010025_aid0001,tmax,aid0001,2010-01-25,37363,2.25,14.5299997,"(2.25,14.5299997)",10.5713358,1.9316838,3.7314022,12.4200001,14.5299997,9.9300003,4.3499999,9.1800003
DAYMET_004_tmax_doy2010026_aid0001,tmax,aid0001,2010-01-26,37363,-1.3099999,12.3299999,"(-1.3099999,12.3299999)",7.0411844,1.7276206,2.9846729,8.1400003,11.2600002,7.1199999,2.9400001,6.0599999
