Value,Greenup,MidGreenup,Maturity,Peak,Senescence,MidGreendown,Dormancy
0,Best,Best,Best,Best,Best,Best,Best
1,Good,Best,Best,Best,Best,Best,Best
2,Fair,Best,Best,Best,Best,Best,Best
3,Poor,Best,Best,Best,Best,Best,Best
4,Best,Good,Best,Best,Best,Best,Best
5,Good,Good,Best,Best,Best,Best,Best
6,Fair,Good,Best,Best,Best,Best,Best
7,Poor,Good,Best,Best,Best,Best,Best
8,Best,Fair,Best,Best,Best,Best,Best
9,Good,Fair,Best,Best,Best,Best,Best
10,Fair,Fair,Best,Best,Best,Best,Best
11,Poor,Fair,Best,Best,Best,Best,Best
12,Best,Poor,Best,Best,Best,Best,Best
48,Best,Best,Poor,Best,Best,Best,Best
224,Best,Best,Fair,Poor,Best,Best,Best
1024,Best,Best,Best,Best,Best,Good,Best
1025,Good,Best,Best,Best,Best,Good,Best
1034,Fair,Fair,Best,Best,Best,Good,Best
1360,Best,Best,Good,Good,Good,Good,Best
2048,Best,Best,Best,Best,Best,Fair,Best
3075,Poor,Best,Best,Best,Best,Poor,Best
3120,Best,Best,Poor,Best,Best,Poor,Best
4096,Best,Best,Best,Best,Best,Best,Good
4097,Good,Best,Best,Best,Best,Best,Good
4098,Fair,Best,Best,Best,Best,Best,Good
4099,Poor,Best,Best,Best,Best,Best,Good
4100,Best,Good,Best,Best,Best,Best,Good
4101,Good,Good,Best,Best,Best,Best,Good
4102,Fair,Good,Best,Best,Best,Best,Good
4103,Poor,Good,Best,Best,Best,Best,Good
4104,Best,Fair,Best,Best,Best,Best,Good
4105,Good,Fair,Best,Best,Best,Best,Good
4106,Fair,Fair,Best,Best,Best,Best,Good
4107,Poor,Fair,Best,Best,Best,Best,Good
5120,Best,Best,Best,Best,Best,Good,Good
5121,Good,Best,Best,Best,Best,Good,Good
5122,Fair,Best,Best,Best,Best,Good,Good
5123,Poor,Best,Best,Best,Best,Good,Good
8192,Best,Best,Best,Best,Best,Best,Fair
8193,Good,Best,Best,Best,Best,Best,Fair
8194,Fair,Best,Best,Best,Best,Best,Fair
8195,Poor,Best,Best,Best,Best,Best,Fair
8196,Best,Good,Best,Best,Best,Best,Fair
8197,Good,Good,Best,Best,Best,Best,Fair
8198,Fair,Good,Best,Best,Best,Best,Fair
8199,Poor,Good,Best,Best,Best,Best,Fair
8200,Best,Fair,Best,Best,Best,Best,Fair
8201,Good,Fair,Best,Best,Best,Best,Fair
8202,Fair,Fair,Best,Best,Best,Best,Fair
8203,Poor,Fair,Best,Best,Best,Best,Fair
9216,Best,Best,Best,Best,Best,Good,Fair
9217,Good,Best,Best,Best,Best,Good,Fair
9218,Fair,Best,Best,Best,Best,Good,Fair
12288,Best,Best,Best,Best,Best,Best,Poor
12289,Good,Best,Best,Best,Best,Best,Poor
12290,Fair,Best,Best,Best,Best,Best,Poor
12291,Poor,Best,Best,Best,Best,Best,Poor
12292,Best,Good,Best,Best,Best,Best,Poor
12293,Good,Good,Best,Best,Best,Best,Poor
12294,Fair,Good,Best,Best,Best,Best,Poor
12295,Poor,Good,Best,Best,Best,Best,Poor
12297,Good,Fair,Best,Best,Best,Best,Poor
12298,Fair,Fair,Best,Best,Best,Best,Poor
12299,Poor,Fair,Best,Best,Best,Best,Poor
12492,Best,Poor,Best,Poor,Best,Best,Poor
13312,Best,Best,Best,Best,Best,Good,Poor
13313,Good,Best,Best,Best,Best,Good,Poor
13315,Poor,Best,Best,Best,Best,Good,Poor
13318,Fair,Good,Best,Best,Best,Good,Poor
14336,Best,Best,Best,Best,Best,Fair,Poor
