site,date,flue,is_flue_drought,cluster,NR_B1,NR_B2,NR_B3,NR_B4,NR_B5,NR_B6,NR_B7,LST,t2m_era5,ssrd_era5,pcwd_era5,vegtype
AR-Vir,2010-02-05,0.9310964514733217,TRUE,cGR,0.0262,0.3834,0.0139,0.0549,NA,NA,0.0517,NA,304.519897460938,24525968,67.5301914410474,ENF
AR-Vir,2010-02-07,0.9221137514704576,TRUE,cGR,0.0265,0.3845,NA,0.0578,0.2819,0.1276,0.0502,NA,304.704742431641,28042076,77.6257845343496,ENF
AR-Vir,2010-02-09,0.9093311140048248,TRUE,cGR,0.0243,0.3733,0.0145,0.0575,0.28,0.127,0.051,301.019989,299.376770019531,27358412,73.329367302115,ENF
AR-Vir,2010-02-10,0.904821761226713,TRUE,cGR,0.0241,0.3724,NA,0.0573,0.2794,0.1267,0.0508,NA,300.087127685547,25967540,78.5123982107717,ENF
AR-Vir,2010-02-11,0.9278531940310348,TRUE,cGR,0.0239,0.3715,0.0143,NA,0.2788,0.1265,NA,301.9999847,301.633178710938,25853908,81.8378631916072,ENF
AR-Vir,2010-02-12,0.920495723059735,TRUE,cGR,0.0225,0.3641,NA,0.0579,0.2742,0.1233,0.0457,302.5499878,301.887054443359,24623990,86.7684346319075,ENF
AR-Vir,2010-02-13,0.9154216076248334,TRUE,cGR,0.0224,NA,0.0132,0.0574,NA,0.1231,0.0455,NA,301.684448242188,24219540,91.6272992107174,ENF
AR-Vir,2010-02-14,0.9599523093894968,TRUE,cGR,0.0223,0.3622,0.0131,0.0569,0.2734,0.1229,0.0453,NA,299.846496582031,17591912,85.4956147651,ENF
AR-Vir,2010-02-17,0.9742507185186118,TRUE,cGR,0.0215,0.3455,0.0132,NA,0.2609,0.1222,NA,NA,298.240814208984,21221812,4.88015941499767,ENF
AR-Vir,2010-02-21,0.9639671750029106,TRUE,cGR,NA,0.3225,NA,0.046,0.2658,0.1225,NA,NA,301.276763916016,17242104,14.0480346153275,ENF
AR-Vir,2010-02-22,0.9674688891764526,TRUE,cGR,0.0206,NA,NA,NA,0.2655,0.1119,0.0347,NA,300.750762939453,17786394,16.3957651431181,ENF
AR-Vir,2010-02-23,0.9717838150892916,TRUE,cGR,0.0232,NA,NA,0.0382,NA,NA,NA,NA,299.525482177734,6250608,0,ENF
AR-Vir,2010-02-24,0.9676174433378588,TRUE,cGR,NA,0.318,0.0112,0.0374,0.2543,NA,0.0346,NA,297.122589111328,16611732,4.12581659310532,ENF
AR-Vir,2010-02-25,0.962872129126532,TRUE,cGR,0.0245,0.3214,0.0113,0.0421,NA,0.0972,NA,NA,293.419647216797,28764772,9.31136752354261,ENF
